CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
012060,CUNARDO,VARESE,1444,647
098005,BORGO SAN GIOVANNI,LODI,1314,565
019023,CASTELDIDONE,CREMONA,305,158
012013,BESOZZO,VARESE,4734,2230
016074,CISANO BERGAMASCO,BERGAMO,3395,1399
012121,SOLBIATE ARNO,VARESE,2094,952
012138,VERGIATE,VARESE,4745,2177
098057,TERRANOVA DEI PASSERINI,LODI,502,195
018149,SILVANO PIETRA,PAVIA,336,169
018020,BOSNASCO,PAVIA,328,145
016198,SERIATE,BERGAMO,13527,6563
016008,ALZANO LOMBARDO,BERGAMO,7145,3419
012130,UBOLDO,VARESE,5482,2049
018145,SAN ZENONE AL PO,PAVIA,273,145
013077,CORRIDO,COMO,387,111
016155,PALADINA,BERGAMO,2069,990
013097,EUPILIO,COMO,1672,669
016093,ENDINE GAIANO,BERGAMO,2046,899
018117,PONTE NIZZA,PAVIA,504,360
014076,VERVIO,SONDRIO,113,48
018063,FILIGHERA,PAVIA,478,230
020042,POGGIO RUSCO,MANTOVA,3433,1403
097016,CASATENOVO,LECCO,7621,3388
016109,GANDOSSO,BERGAMO,804,455
013009,ANZANO DEL PARCO,COMO,1183,476
020048,REDONDESCO,MANTOVA,652,338
017139,PERTICA ALTA,BRESCIA,281,122
018126,ROCCA SUSELLA,PAVIA,101,64
018172,VELEZZO LOMELLINA,PAVIA,56,23
097029,CREMENO,LECCO,948,431
015243,VITTUONE,MILANO,5020,2048
015185,RODANO,MILANO,2647,1096
014008,BIANZONE,SONDRIO,748,344
013113,GRIANTE,COMO,364,165
017098,MAGASA,BRESCIA,72,41
097070,PRIMALUNA,LECCO,1403,560
012011,BESANO,VARESE,1324,611
016131,MADONE,BERGAMO,1974,828
017073,GAMBARA,BRESCIA,2561,1248
019083,RIVAROLO DEL RE ED UNITI,CREMONA,921,470
017180,SOIANO DEL LAGO,BRESCIA,873,365
015244,VIZZOLO PREDABISSI,MILANO,2307,1105
012123,SOMMA LOMBARDO,VARESE,8990,4240
012122,SOLBIATE OLONA,VARESE,2898,1369
016164,PIAZZA BREMBANA,BERGAMO,738,431
