"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"013023","Binago","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4757,"e","dato stimato"
"015024","Binasco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",7151,"e","dato stimato"
"017019","Bione","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1319,"e","dato stimato"
"012015","Bisuschio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4301,"e","dato stimato"
"013024","Bizzarone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1702,"e","dato stimato"
"016027","Blello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",74,"e","dato stimato"
"013025","Blessagno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",287,"e","dato stimato"
"013026","Blevio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1153,"e","dato stimato"
"012016","Bodio Lomnago","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2192,"e","dato stimato"
"098003","Boffalora d'Adda","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1722,"e","dato stimato"
"015026","Boffalora sopra Ticino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4099,"e","dato stimato"
"016028","Bolgare","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6400,"e","dato stimato"
"015027","Bollate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",35955,"e","dato stimato"
"016029","Boltiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6178,"e","dato stimato"
"016030","Bonate Sopra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",10087,"e","dato stimato"
"016031","Bonate Sotto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6599,"e","dato stimato"
"019006","Bonemerse","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1452,"e","dato stimato"
"019007","Bordolano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",568,"e","dato stimato"
"018015","Borgarello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2598,"e","dato stimato"
"098004","Borghetto Lodigiano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4305,"e","dato stimato"
"016032","Borgo di Terzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1153,"e","dato stimato"
"018016","Borgo Priolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1296,"e","dato stimato"
"017020","Borgo San Giacomo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5377,"e","dato stimato"
